name,city,country,iata,icao,latitude,longitude,altitude,timezone,timezone_dst
Nanchang Changbei International Airport,Nanchang,China,KHN,ZSCN,28.865,115.900,143,Asia/Shanghai,U
Fuzhou Changle International Airport,Fuzhou,China,FOC,ZSFZ,25.935,119.663,46,Asia/Shanghai,U
Hangzhou Xiaoshan International Airport,Hangzhou,China,HGH,ZSHC,30.229,120.434,23,Asia/Shanghai,U
Ningbo Lishe International Airport,Ninbo,China,NGB,ZSNB,29.827,121.462,13,Asia/Shanghai,U
Nanjing Lukou Airport,Nanjing,China,NKG,ZSNJ,31.742,118.862,49,Asia/Shanghai,U
Hefei Luogang International Airport,Hefei,China,HFE,ZSOF,31.780,117.298,108,Asia/Shanghai,U
Liuting Airport,Qingdao,China,TAO,ZSQD,36.266,120.374,33,Asia/Shanghai,U
Shanghai Hongqiao International Airport,Shanghai,China,SHA,ZSSS,31.198,121.336,10,Asia/Shanghai,U
Yantai Laishan Airport,Yantai,China,YNT,ZSYT,37.402,121.372,59,Asia/Shanghai,U
Chongqing Jiangbei International Airport,Chongqing,China,CKG,ZUCK,29.719,106.642,1365,Asia/Shanghai,U
Longdongbao Airport,Guiyang,China,KWE,ZUGY,26.538,106.801,3736,Asia/Shanghai,U
Chengdu Shuangliu International Airport,Chengdu,China,CTU,ZUUU,30.579,103.947,1625,Asia/Shanghai,U
Xichang Qingshan Airport,Xichang,China,XIC,ZUXC,27.989,102.184,5112,Asia/Shanghai,U
Kashgar Airport,Kashi,China,KHG,ZWSH,39.543,76.020,4529,Asia/Shanghai,U
Hotan Airport,Hotan,China,HTN,ZWTN,37.039,79.865,4672,Asia/Shanghai,U
Ürümqi Diwopu International Airport,Urumqi,China,URC,ZWWW,43.907,87.474,2125,Asia/Shanghai,U
Taiping Airport,Harbin,China,HRB,ZYHB,45.623,126.250,457,Asia/Shanghai,U
Mudanjiang Hailang International Airport,Mudanjiang,China,MDG,ZYMD,44.524,129.569,883,Asia/Shanghai,U
Zhoushuizi Airport,Dalian,China,DLC,ZYTL,38.966,121.539,107,Asia/Shanghai,U
Shanghai Pudong International Airport,Shanghai,China,PVG,ZSPD,31.143,121.805,13,Asia/Shanghai,U
Pulau Tioman Airport,Tioman,Malaysia,TOD,WMBT,2.818,104.160,15,Asia/Kuala_Lumpur,N
Sultan Abdul Aziz Shah International Airport,Kuala Lumpur,Malaysia,SZB,WMSA,3.131,101.549,90,Asia/Kuala_Lumpur,N
Noto Airport,Wajima,Japan,NTQ,RJNW,37.293,136.962,718,Asia/Tokyo,U
Borg El Arab International Airport,Alexandria,Egypt,HBE,HEBA,30.918,29.696,177,Africa/Cairo,U
Barter Island LRRS Airport,Barter Island,United States,BTI,PABA,70.134,-143.582,2,America/Anchorage,A
Wainwright Air Station,Fort Wainwright,United States,,PAWT,70.613,-159.860,35,America/Anchorage,A
Cape Lisburne LRRS Airport,Cape Lisburne,United States,LUR,PALU,68.875,-166.110,16,America/Anchorage,A
Point Lay LRRS Airport,Point Lay,United States,PIZ,PPIZ,69.733,-163.005,22,America/Anchorage,A
Hilo International Airport,Hilo,United States,ITO,PHTO,19.721,-155.048,38,Pacific/Honolulu,N
Orlando Executive Airport,Orlando,United States,ORL,KORL,28.546,-81.333,113,America/New_York,A
Bettles Airport,Bettles,United States,BTT,PABT,66.914,-151.529,647,America/Anchorage,A
Clear Airport,Clear Mews,United States,,PACL,64.301,-149.120,552,America/Anchorage,A
Indian Mountain LRRS Airport,Indian Mountains,United States,UTO,PAIM,65.993,-153.704,1273,America/Anchorage,A
Fort Yukon Airport,Fort Yukon,United States,FYU,PFYU,66.572,-145.250,433,America/Anchorage,A
Sparrevohn LRRS Airport,Sparrevohn,United States,SVW,PASV,61.097,-155.574,1585,America/Anchorage,A
Bryant Army Heliport,Fort Richardson,United States,FRN,PAFR,61.266,-149.653,378,America/Anchorage,A
Tatalina LRRS Airport,Tatalina,United States,TLJ,PATL,62.894,-155.977,964,America/Anchorage,A
Cape Romanzof LRRS Airport,Cape Romanzof,United States,CZF,PACZ,61.780,-166.039,464,America/Anchorage,A
Laurence G Hanscom Field,Bedford,United States,BED,KBED,42.470,-71.289,133,America/New_York,A
St Paul Island Airport,St. Paul Island,United States,SNP,PASN,57.167,-170.220,63,America/Anchorage,A
Cape Newenham LRRS Airport,Cape Newenham,United States,EHM,PAEH,58.646,-162.063,541,America/Anchorage,A
St George Airport,Point Barrow,United States,STG,PAPB,56.578,-169.662,125,America/Anchorage,A
Iliamna Airport,Iliamna,United States,ILI,PAIL,59.754,-154.911,192,America/Anchorage,A
Platinum Airport,Port Moller,United States,PTU,PAPM,59.011,-161.820,15,America/Anchorage,A
Big Mountain Airport,Big Mountain,United States,BMX,PABM,59.361,-155.259,663,America/Anchorage,A
Oscoda Wurtsmith Airport,Oscoda,United States,OSC,KOSC,44.452,-83.394,633,America/New_York,A
Marina Municipal Airport,Fort Ord,United States,OAR,KOAR,36.682,-121.762,137,America/Los_Angeles,A
Sacramento Mather Airport,Sacramento,United States,MHR,KMHR,38.554,-121.298,98,America/Los_Angeles,A
Bicycle Lake Army Air Field,Fort Irwin,United States,BYS,KBYS,35.280,-116.630,2350,America/Los_Angeles,A
Twentynine Palms (Self) Airport,Twenty Nine Palms,United States,,KNXP,34.296,-116.162,2051,America/Los_Angeles,A
Fort Smith Regional Airport,Fort Smith,United States,FSM,KFSM,35.337,-94.367,469,America/Chicago,A
Merrill Field,Anchorage,United States,MRI,PAMR,61.214,-149.844,137,America/Anchorage,A
Grants-Milan Municipal Airport,Grants,United States,GNT,KGNT,35.167,-107.902,6537,America/Denver,A
Ponca City Regional Airport,Ponca City,United States,PNC,KPNC,36.732,-97.100,1008,America/Chicago,A
Hunter Army Air Field,Hunter Aaf,United States,SVN,KSVN,32.010,-81.146,41,America/New_York,A
Grand Forks International Airport,Grand Forks,United States,GFK,KGFK,47.949,-97.176,845,America/Chicago,A
"Pine Bluff Regional Airport, Grider Field",Pine Bluff,United States,PBF,KPBF,34.173,-91.936,206,America/Chicago,A
Whiting Field Naval Air Station - North,Milton,United States,NSE,KNSE,30.724,-87.022,199,America/Chicago,A
