name,city,country,iata,icao,latitude,longitude,altitude,timezone,timezone_dst
Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.082,145.392,5282,Pacific/Port_Moresby,U
Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.207,145.789,20,Pacific/Port_Moresby,U
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.827,144.296,5388,Pacific/Port_Moresby,U
Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,-6.570,146.726,239,Pacific/Port_Moresby,U
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.443,147.220,146,Pacific/Port_Moresby,U
Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.584,143.669,19,Pacific/Port_Moresby,U
Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,61.160,-45.426,112,America/Godthab,E
Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.191,-51.678,283,America/Godthab,E
Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.012,-50.712,165,America/Godthab,E
Thule Air Base,Thule,Greenland,THU,BGTL,76.531,-68.703,251,America/Thule,E
Akureyri Airport,Akureyri,Iceland,AEY,BIAR,65.660,-18.073,6,Atlantic/Reykjavik,N
Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,65.283,-14.401,76,Atlantic/Reykjavik,N
Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,64.296,-15.227,24,Atlantic/Reykjavik,N
Húsavík Airport,Husavik,Iceland,HZK,BIHU,65.952,-17.426,48,Atlantic/Reykjavik,N
Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,66.058,-23.135,8,Atlantic/Reykjavik,N
Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.985,-22.606,171,Atlantic/Reykjavik,N
Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,65.556,-23.965,11,Atlantic/Reykjavik,N
Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,64.130,-21.941,48,Atlantic/Reykjavik,N
Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,66.133,-18.917,10,Atlantic/Reykjavik,N
Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,63.424,-20.279,326,Atlantic/Reykjavik,N
Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM,46.485,-84.509,630,America/Toronto,A
Winnipeg / St. Andrews Airport,Winnipeg,Canada,,CYAV,50.056,-97.033,760,America/Winnipeg,A
Halifax / CFB Shearwater Heliport,Halifax,Canada,,CYAW,44.640,-63.499,144,America/Halifax,A
St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,51.392,-56.083,108,America/St_Johns,A
Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,49.080,-125.776,80,America/Vancouver,A
Kugaaruk Airport,Pelly Bay,Canada,YBB,CYBB,68.534,-89.808,56,America/Edmonton,A
Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC,49.132,-68.204,71,America/Toronto,A
CFB Bagotville,Bagotville,Canada,YBG,CYBG,48.331,-70.996,522,America/Toronto,A
Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,64.299,-96.078,59,America/Winnipeg,A
Campbell River Airport,Campbell River,Canada,YBL,CYBL,49.951,-125.271,346,America/Vancouver,A
Brandon Municipal Airport,Brandon,Canada,YBR,CYBR,49.910,-99.952,1343,America/Winnipeg,A
Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,69.108,-105.138,90,America/Edmonton,A
Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,49.055,-123.870,92,America/Vancouver,A
Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,CYCG,49.296,-117.632,1624,America/Vancouver,A
Miramichi Airport,Chatham,Canada,YCH,CYCH,47.008,-65.449,108,America/Halifax,A
Charlo Airport,Charlo,Canada,YCL,CYCL,47.991,-66.330,132,America/Halifax,A
Kugluktuk Airport,Coppermine,Canada,YCO,CYCO,67.817,-115.144,74,America/Edmonton,A
Coronation Airport,Coronation,Canada,YCT,CYCT,52.075,-111.445,2595,America/Edmonton,A
Chilliwack Airport,Chilliwack,Canada,YCW,CYCW,49.153,-121.939,32,America/Vancouver,A
Clyde River Airport,Clyde River,Canada,YCY,CYCY,70.486,-68.517,87,America/Toronto,A
Coral Harbour Airport,Coral Harbour,Canada,YZS,CYZS,64.193,-83.359,210,America/Coral_Harbour,A
Dawson City Airport,Dawson,Canada,YDA,CYDA,64.043,-139.128,1215,America/Vancouver,A
Burwash Airport,Burwash,Canada,YDB,CYDB,61.371,-139.041,2647,America/Vancouver,A
Princeton Airport,Princeton,Canada,,CYDC,49.468,-120.511,2298,America/Vancouver,A
Deer Lake Airport,Deer Lake,Canada,YDF,CYDF,49.211,-57.391,72,America/St_Johns,A
Dease Lake Airport,Dease Lake,Canada,YDL,CYDL,58.422,-130.032,2600,America/Vancouver,A
Dauphin Barker Airport,Dauphin,Canada,YDN,CYDN,51.101,-100.052,999,America/Winnipeg,A
Dawson Creek Airport,Dawson Creek,Canada,YDQ,CYDQ,55.742,-120.183,2148,America/Dawson_Creek,A
Edmonton International Airport,Edmonton,Canada,YEG,CYEG,53.310,-113.580,2373,America/Edmonton,A
Arviat Airport,Eskimo Point,Canada,YEK,CYEK,61.094,-94.071,32,America/Winnipeg,A
Estevan Airport,Estevan,Canada,YEN,CYEN,49.210,-102.966,1905,America/Regina,N
Edson Airport,Edson,Canada,YET,CYET,53.579,-116.465,3043,America/Edmonton,A
Eureka Airport,Eureka,Canada,YEU,CYEU,79.995,-85.814,256,America/Winnipeg,A
Inuvik Mike Zubko Airport,Inuvik,Canada,YEV,CYEV,68.304,-133.483,224,America/Edmonton,A
Iqaluit Airport,Iqaluit,Canada,YFB,CYFB,63.756,-68.556,110,America/Toronto,A
Fredericton Airport,Fredericton,Canada,YFC,CYFC,45.869,-66.537,68,America/Halifax,A
Forestville Airport,Forestville,Canada,YFE,CYFE,48.746,-69.097,293,America/Toronto,A
Flin Flon Airport,Flin Flon,Canada,YFO,CYFO,54.678,-101.682,997,America/Winnipeg,A
Fort Resolution Airport,Fort Resolution,Canada,YFR,CYFR,61.181,-113.690,526,America/Edmonton,A
Fort Simpson Airport,Fort Simpson,Canada,YFS,CYFS,61.760,-121.237,555,America/Edmonton,A
Kingston Norman Rogers Airport,Kingston,Canada,YGK,CYGK,44.225,-76.597,305,America/Toronto,A
La Grande Rivière Airport,La Grande Riviere,Canada,YGL,CYGL,53.625,-77.704,639,America/Toronto,A
Gaspé (Michel-Pouliot) Airport,Gaspe,Canada,YGP,CYGP,48.775,-64.479,112,America/Toronto,A
Geraldton Greenstone Regional Airport,Geraldton,Canada,YGQ,CYGQ,49.778,-86.939,1144,America/Toronto,A
Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,YGR,CYGR,47.425,-61.778,35,America/Toronto,A
Hudson Bay Airport,Hudson Bay,Canada,YHB,CYHB,52.817,-102.311,1175,America/Regina,N
Dryden Regional Airport,Dryden,Canada,YHD,CYHD,49.832,-92.744,1354,America/Winnipeg,A
Ulukhaktok Holman Airport,Holman Island,Canada,YHI,CYHI,70.763,-117.806,117,America/Edmonton,A
Gjoa Haven Airport,Gjoa Haven,Canada,YHK,CYHK,68.636,-95.850,152,America/Edmonton,A
John C. Munro Hamilton International Airport,Hamilton,Canada,YHM,CYHM,43.174,-79.935,780,America/Toronto,A
Montréal / Saint-Hubert Airport,Montreal,Canada,YHU,CYHU,45.518,-73.417,90,America/Toronto,A
Hay River / Merlyn Carter Airport,Hay River,Canada,YHY,CYHY,60.840,-115.783,541,America/Edmonton,A
Halifax / Stanfield International Airport,Halifax,Canada,YHZ,CYHZ,44.881,-63.509,477,America/Halifax,A
Atikokan Municipal Airport,Atikokan,Canada,YIB,CYIB,48.774,-91.639,1408,America/Coral_Harbour,A
Pond Inlet Airport,Pond Inlet,Canada,YIO,CYIO,72.683,-77.967,181,America/Toronto,A
St Jean Airport,St. Jean,Canada,YJN,CYJN,45.294,-73.281,136,America/Toronto,A
Stephenville Airport,Stephenville,Canada,YJT,CYJT,48.544,-58.550,84,America/St_Johns,A
Kamloops Airport,Kamloops,Canada,YKA,CYKA,50.702,-120.444,1133,America/Vancouver,A
Waterloo Airport,Waterloo,Canada,YKF,CYKF,43.461,-80.379,1055,America/Toronto,A
Schefferville Airport,Schefferville,Canada,YKL,CYKL,54.805,-66.805,1709,America/Toronto,A
Kindersley Airport,Kindersley,Canada,YKY,CYKY,51.518,-109.181,2277,America/Regina,N
Buttonville Municipal Airport,Toronto,Canada,YKZ,CYKZ,43.862,-79.370,650,America/Toronto,A
Chapleau Airport,Chapleau,Canada,YLD,CYLD,47.820,-83.347,1470,America/Toronto,A
Meadow Lake Airport,Meadow Lake,Canada,YLJ,CYLJ,54.125,-108.523,1576,America/Regina,N
Lloydminster Airport,Lloydminster,Canada,YLL,CYLL,53.309,-110.073,2193,America/Edmonton,A
Alert Airport,Alert,Canada,YLT,CYLT,82.518,-62.281,100,America/Toronto,A
Kelowna International Airport,Kelowna,Canada,YLW,CYLW,49.956,-119.378,1421,America/Vancouver,A
Mayo Airport,Mayo,Canada,YMA,CYMA,63.616,-135.868,1653,America/Vancouver,A
Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Canada,YMJ,CYMJ,50.330,-105.559,1892,America/Regina,N
Fort McMurray Airport,Fort Mcmurray,Canada,YMM,CYMM,56.653,-111.222,1211,America/Edmonton,A
Moosonee Airport,Moosonee,Canada,YMO,CYMO,51.291,-80.608,30,America/Toronto,A
Maniwaki Airport,Maniwaki,Canada,YMW,CYMW,46.273,-75.991,656,America/Toronto,A
Montreal International (Mirabel) Airport,Montreal,Canada,YMX,CYMX,45.680,-74.039,270,America/Toronto,A
Natashquan Airport,Natashquan,Canada,YNA,CYNA,50.190,-61.789,39,America/Toronto,A
Ottawa / Gatineau Airport,Gatineau,Canada,YND,CYND,45.522,-75.564,211,America/Toronto,A
Matagami Airport,Matagami,Canada,YNM,CYNM,49.762,-77.803,918,America/Toronto,A
Old Crow Airport,Old Crow,Canada,YOC,CYOC,67.571,-139.839,824,America/Vancouver,A
CFB Cold Lake,Cold Lake,Canada,YOD,CYOD,54.405,-110.279,1775,America/Edmonton,A
High Level Airport,High Level,Canada,YOJ,CYOJ,58.621,-117.165,1110,America/Edmonton,A
Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,YOW,CYOW,45.322,-75.669,374,America/Toronto,A
Prince Albert Glass Field,Prince Albert,Canada,YPA,CYPA,53.214,-105.673,1405,America/Regina,N
Peace River Airport,Peace River,Canada,YPE,CYPE,56.227,-117.447,1873,America/Edmonton,A
Southport Airport,Portage-la-prairie,Canada,YPG,CYPG,49.903,-98.274,885,America/Winnipeg,A
Pitt Meadows Airport,Pitt Meadows,Canada,,CYPK,49.216,-122.710,11,America/Vancouver,A
Pickle Lake Airport,Pickle Lake,Canada,YPL,CYPL,51.446,-90.214,1267,America/Coral_Harbour,A
Port Menier Airport,Port Menier,Canada,YPN,CYPN,49.836,-64.289,167,America/Toronto,A
Peterborough Airport,Peterborough,Canada,YPQ,CYPQ,44.230,-78.363,628,America/Toronto,A
Prince Rupert Airport,Prince Pupert,Canada,YPR,CYPR,54.286,-130.445,116,America/Vancouver,A
Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,CYPY,58.767,-111.117,761,America/Edmonton,A
Muskoka Airport,Muskoka,Canada,YQA,CYQA,44.975,-79.303,925,America/Toronto,A
Quebec Jean Lesage International Airport,Quebec,Canada,YQB,CYQB,46.791,-71.393,244,America/Toronto,A
Red Deer Regional Airport,Red Deer Industrial,Canada,YQF,CYQF,52.182,-113.894,2968,America/Edmonton,A
Windsor Airport,Windsor,Canada,YQG,CYQG,42.276,-82.956,622,America/Toronto,A
Watson Lake Airport,Watson Lake,Canada,YQH,CYQH,60.116,-128.822,2255,America/Vancouver,A
Kenora Airport,Kenora,Canada,YQK,CYQK,49.788,-94.363,1332,America/Winnipeg,A
Lethbridge County Airport,Lethbridge,Canada,YQL,CYQL,49.630,-112.800,3048,America/Edmonton,A
Greater Moncton International Airport,Moncton,Canada,YQM,CYQM,46.112,-64.679,232,America/Halifax,A
Comox Airport,Comox,Canada,YQQ,CYQQ,49.711,-124.887,84,America/Vancouver,A
Regina International Airport,Regina,Canada,YQR,CYQR,50.432,-104.666,1894,America/Regina,N
Thunder Bay Airport,Thunder Bay,Canada,YQT,CYQT,48.372,-89.324,653,America/Toronto,A
Grande Prairie Airport,Grande Prairie,Canada,YQU,CYQU,55.180,-118.885,2195,America/Edmonton,A
Yorkton Municipal Airport,Yorkton,Canada,YQV,CYQV,51.265,-102.462,1635,America/Regina,N
North Battleford Airport,North Battleford,Canada,YQW,CYQW,52.769,-108.244,1799,America/Regina,N
Gander International Airport,Gander,Canada,YQX,CYQX,48.937,-54.568,496,America/St_Johns,A
Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,CYQY,46.161,-60.048,203,America/Halifax,A
Quesnel Airport,Quesnel,Canada,YQZ,CYQZ,53.026,-122.510,1789,America/Vancouver,A
Resolute Bay Airport,Resolute,Canada,YRB,CYRB,74.717,-94.969,215,America/Winnipeg,A
Rivière-du-Loup Airport,Riviere Du Loup,Canada,YRI,CYRI,47.764,-69.585,427,America/Toronto,A
Roberval Airport,Roberval,Canada,YRJ,CYRJ,48.520,-72.266,586,America/Toronto,A
Rocky Mountain House Airport,Rocky Mountain House,Canada,YRM,CYRM,52.430,-114.904,3244,America/Edmonton,A
Rankin Inlet Airport,Rankin Inlet,Canada,YRT,CYRT,62.811,-92.116,94,America/Winnipeg,A
Sudbury Airport,Sudbury,Canada,YSB,CYSB,46.625,-80.799,1141,America/Toronto,A
Sherbrooke Airport,Sherbrooke,Canada,YSC,CYSC,45.439,-71.691,792,America/Toronto,A
Saint John Airport,St. John,Canada,YSJ,CYSJ,45.316,-65.890,357,America/Halifax,A
Fort Smith Airport,Fort Smith,Canada,YSM,CYSM,60.020,-111.962,671,America/Edmonton,A
Nanisivik Airport,Nanisivik,Canada,YSR,CYSR,72.982,-84.614,2106,America/Toronto,A
Summerside Airport,Summerside,Canada,YSU,CYSU,46.441,-63.834,56,America/Halifax,A
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY,CYSY,71.994,-125.243,282,America/Edmonton,A
Cape Dorset Airport,Cape Dorset,Canada,YTE,CYTE,64.230,-76.527,164,America/Toronto,A
Thompson Airport,Thompson,Canada,YTH,CYTH,55.801,-97.864,729,America/Winnipeg,A
CFB Trenton,Trenton,Canada,YTR,CYTR,44.119,-77.528,283,America/Toronto,A
Timmins/Victor M. Power,Timmins,Canada,YTS,CYTS,48.570,-81.377,967,America/Toronto,A
Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,CYTZ,43.627,-79.396,252,America/Toronto,A
Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB,CYUB,69.433,-133.026,15,America/Edmonton,A
Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,CYUL,45.471,-73.741,118,America/Toronto,A
Repulse Bay Airport,Repulse Bay,Canada,YUT,CYUT,66.521,-86.225,80,America/Winnipeg,A
Hall Beach Airport,Hall Beach,Canada,YUX,CYUX,68.776,-81.243,30,America/Toronto,A
Rouyn Noranda Airport,Rouyn,Canada,YUY,CYUY,48.206,-78.836,988,America/Toronto,A
La Ronge Airport,La Ronge,Canada,YVC,CYVC,55.151,-105.262,1242,America/Regina,N
Vermilion Airport,Vermillion,Canada,YVG,CYVG,53.356,-110.824,2025,America/Edmonton,A
Qikiqtarjuaq Airport,Broughton Island,Canada,YVM,CYVM,67.546,-64.031,21,America/Toronto,A
Val-d'Or Airport,Val D'or,Canada,YVO,CYVO,48.053,-77.783,1107,America/Toronto,A
Kuujjuaq Airport,Quujjuaq,Canada,YVP,CYVP,58.096,-68.427,129,America/Toronto,A
Norman Wells Airport,Norman Wells,Canada,YVQ,CYVQ,65.282,-126.798,238,America/Edmonton,A
Vancouver International Airport,Vancouver,Canada,YVR,CYVR,49.194,-123.184,14,America/Vancouver,A
Buffalo Narrows Airport,Buffalo Narrows,Canada,YVT,CYVT,55.842,-108.418,1423,America/Regina,N
Wiarton Airport,Wiarton,Canada,YVV,CYVV,44.746,-81.107,729,America/Toronto,A
Petawawa Airport,Petawawa,Canada,YWA,CYWA,45.952,-77.319,427,America/Toronto,A
Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,CYWG,49.910,-97.240,783,America/Winnipeg,A
Wabush Airport,Wabush,Canada,YWK,CYWK,52.922,-66.864,1808,America/Halifax,A
Williams Lake Airport,Williams Lake,Canada,YWL,CYWL,52.183,-122.054,3085,America/Vancouver,A
Wrigley Airport,Wrigley,Canada,YWY,CYWY,63.209,-123.437,489,America/Edmonton,A
Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC,CYXC,49.611,-115.782,3082,America/Edmonton,A
Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,YXD,CYXD,53.572,-113.521,2202,America/Edmonton,A
Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,CYXE,52.171,-106.700,1653,America/Regina,N
Medicine Hat Airport,Medicine Hat,Canada,YXH,CYXH,50.019,-110.721,2352,America/Edmonton,A
Fort St John Airport,Fort Saint John,Canada,YXJ,CYXJ,56.238,-120.740,2280,America/Dawson_Creek,A
Sioux Lookout Airport,Sioux Lookout,Canada,YXL,CYXL,50.114,-91.905,1258,America/Winnipeg,A
Pangnirtung Airport,Pangnirtung,Canada,YXP,CYXP,66.145,-65.714,75,America/Toronto,A
Earlton (Timiskaming Regional) Airport,Earlton,Canada,YXR,CYXR,47.697,-79.847,800,America/Toronto,A
Prince George Airport,Prince George,Canada,YXS,CYXS,53.889,-122.679,2267,America/Vancouver,A
Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,CYXT,54.468,-128.576,713,America/Vancouver,A
London Airport,London,Canada,YXU,CYXU,43.036,-81.154,912,America/Toronto,A
Abbotsford Airport,Abbotsford,Canada,YXX,CYXX,49.025,-122.361,195,America/Vancouver,A
Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,CYXY,60.710,-135.067,2317,America/Vancouver,A
North Bay Jack Garland Airport,North Bay,Canada,YYB,CYYB,46.364,-79.423,1215,America/Toronto,A
Calgary International Airport,Calgary,Canada,YYC,CYYC,51.114,-114.020,3557,America/Edmonton,A
Smithers Airport,Smithers,Canada,YYD,CYYD,54.825,-127.183,1712,America/Vancouver,A
Fort Nelson Airport,Fort Nelson,Canada,YYE,CYYE,58.836,-122.597,1253,America/Vancouver,A
Penticton Airport,Penticton,Canada,YYF,CYYF,49.463,-119.602,1129,America/Vancouver,A
Charlottetown Airport,Charlottetown,Canada,YYG,CYYG,46.290,-63.121,160,America/Halifax,A
Taloyoak Airport,Spence Bay,Canada,YYH,CYYH,69.547,-93.577,92,America/Edmonton,A
Victoria International Airport,Victoria,Canada,YYJ,CYYJ,48.647,-123.426,63,America/Vancouver,A
Lynn Lake Airport,Lynn Lake,Canada,YYL,CYYL,56.864,-101.076,1170,America/Winnipeg,A
Swift Current Airport,Swift Current,Canada,YYN,CYYN,50.292,-107.691,2680,America/Regina,N
Churchill Airport,Churchill,Canada,YYQ,CYYQ,58.739,-94.065,94,America/Winnipeg,A
Goose Bay Airport,Goose Bay,Canada,YYR,CYYR,53.319,-60.426,160,America/Halifax,A
St. John's International Airport,St. John's,Canada,YYT,CYYT,47.619,-52.752,461,America/St_Johns,A
Kapuskasing Airport,Kapuskasing,Canada,YYU,CYYU,49.414,-82.467,743,America/Toronto,A
Armstrong Airport,Armstrong,Canada,YYW,CYYW,50.290,-88.910,1058,America/Toronto,A
Mont Joli Airport,Mont Joli,Canada,YYY,CYYY,48.609,-68.208,172,America/Toronto,A
Lester B. Pearson International Airport,Toronto,Canada,YYZ,CYYZ,43.677,-79.631,569,America/Toronto,A
Downsview Airport,Toronto,Canada,YZD,CYZD,43.743,-79.466,652,America/Toronto,A
Gore Bay Manitoulin Airport,Gore Bay,Canada,YZE,CYZE,45.885,-82.568,635,America/Toronto,A
Yellowknife Airport,Yellowknife,Canada,YZF,CYZF,62.463,-114.440,675,America/Edmonton,A
Slave Lake Airport,Slave Lake,Canada,YZH,CYZH,55.293,-114.777,1912,America/Edmonton,A
Sandspit Airport,Sandspit,Canada,YZP,CYZP,53.254,-131.814,21,America/Vancouver,A
Chris Hadfield Airport,Sarnia,Canada,YZR,CYZR,42.999,-82.309,594,America/Toronto,A
Port Hardy Airport,Port Hardy,Canada,YZT,CYZT,50.681,-127.367,71,America/Vancouver,A
Whitecourt Airport,Whitecourt,Canada,YZU,CYZU,54.144,-115.787,2567,America/Edmonton,A
Sept-Îles Airport,Sept-iles,Canada,YZV,CYZV,50.223,-66.266,180,America/Toronto,A
Teslin Airport,Teslin,Canada,YZW,CYZW,60.173,-132.743,2313,America/Vancouver,A
CFB Greenwood,Greenwood,Canada,YZX,CYZX,44.984,-64.917,92,America/Halifax,A
Faro Airport,Faro,Canada,ZFA,CZFA,62.208,-133.376,2351,America/Vancouver,A
Fort Mcpherson Airport,Fort Mcpherson,Canada,ZFM,CZFM,67.408,-134.861,116,America/Edmonton,A
Blida Airport,Blida,Algeria,QLD,DAAB,36.504,2.814,535,Africa/Algiers,N
Bou Saada Airport,Bou Saada,Algeria,BUJ,DAAD,35.333,4.206,1506,Africa/Algiers,N
Soummam Airport,Bejaja,Algeria,BJA,DAAE,36.712,5.070,20,Africa/Algiers,N
Houari Boumediene Airport,Algier,Algeria,ALG,DAAG,36.691,3.215,82,Africa/Algiers,N
Djanet Inedbirene Airport,Djanet,Algeria,DJG,DAAJ,24.293,9.452,3176,Africa/Algiers,N
Boufarik Airport,Boufarik,Algeria,,DAAK,36.546,2.876,335,Africa/Algiers,N
Reggane Airport,Reggan,Algeria,,DAAN,26.710,0.286,955,Africa/Algiers,N
Illizi Takhamalt Airport,Illizi,Algeria,VVZ,DAAP,26.723,8.623,1778,Africa/Algiers,N
Ain Oussera Airport,Ain Oussera,Algeria,,DAAQ,35.525,2.879,2132,Africa/Algiers,N
Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,DAAT,22.812,5.451,4518,Africa/Algiers,N
Jijel Ferhat Abbas Airport,Jijel,Algeria,GJL,DAAV,36.795,5.874,36,Africa/Algiers,N
Mecheria Airport,Mecheria,Algeria,MZW,DAAY,33.536,-0.242,3855,Africa/Algiers,N
Relizane Airport,Relizane,Algeria,,DAAZ,35.752,0.626,282,Africa/Algiers,N
Rabah Bitat Airport,Annaba,Algeria,AAE,DABB,36.822,7.809,16,Africa/Algiers,N
Mohamed Boudiaf International Airport,Constantine,Algeria,CZL,DABC,36.276,6.620,2265,Africa/Algiers,N
Cheikh Larbi Tébessi Airport,Tebessa,Algeria,TEE,DABS,35.432,8.121,2661,Africa/Algiers,N
Hassi R'Mel Airport,Tilrempt,Algeria,HRM,DAFH,32.930,3.312,2540,Africa/Algiers,N
Bou Chekif Airport,Tiaret,Algeria,TID,DAOB,35.341,1.463,3245,Africa/Algiers,N
Bou Sfer Airport,Bou Sfer,Algeria,,DAOE,35.735,-0.805,187,Africa/Algiers,N
Tindouf Airport,Tindouf,Algeria,TIN,DAOF,27.700,-8.167,1453,Africa/Algiers,N
Ech Cheliff Airport,Ech-cheliff,Algeria,CFK,DAOI,36.213,1.332,463,Africa/Algiers,N
Tafaraoui Airport,Oran,Algeria,TAF,DAOL,35.542,-0.532,367,Africa/Algiers,N
Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM,DAON,35.017,-1.450,814,Africa/Algiers,N
Es Senia Airport,Oran,Algeria,ORN,DAOO,35.624,-0.621,295,Africa/Algiers,N
Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,BFW,DAOS,35.172,-0.593,1614,Africa/Algiers,N
Ghriss Airport,Ghriss,Algeria,MUW,DAOV,35.208,0.147,1686,Africa/Algiers,N
Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,DAUA,27.838,-0.186,919,Africa/Algiers,N
Biskra Airport,Biskra,Algeria,BSK,DAUB,34.793,5.738,289,Africa/Algiers,N
El Golea Airport,El Golea,Algeria,ELG,DAUE,30.571,2.860,1306,Africa/Algiers,N
Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,DAUG,32.384,3.794,1512,Africa/Algiers,N
Oued Irara Airport,Hassi Messaoud,Algeria,HME,DAUH,31.673,6.140,463,Africa/Algiers,N
In Salah Airport,In Salah,Algeria,INZ,DAUI,27.251,2.512,896,Africa/Algiers,N
Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,DAUK,33.068,6.089,279,Africa/Algiers,N
Laghouat Airport,Laghouat,Algeria,LOO,DAUL,33.764,2.928,2510,Africa/Algiers,N
Timimoun Airport,Timimoun,Algeria,TMX,DAUT,29.237,0.276,1027,Africa/Algiers,N
Ain el Beida Airport,Ouargla,Algeria,OGX,DAUU,31.917,5.413,492,Africa/Algiers,N
In Aménas Airport,Zarzaitine,Algeria,IAM,DAUZ,28.052,9.643,1847,Africa/Algiers,N
Cadjehoun Airport,Cotonou,Benin,COO,DBBB,6.357,2.384,19,Africa/Porto-Novo,N
Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA,DFFD,12.353,-1.512,1037,Africa/Ouagadougou,N
Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,BOY,DFOO,11.160,-4.331,1511,Africa/Ouagadougou,N
Kotoka International Airport,Accra,Ghana,ACC,DGAA,5.605,-0.167,205,Africa/Accra,N
Tamale Airport,Tamale,Ghana,TML,DGLE,9.557,-0.863,553,Africa/Accra,N
Wa Airport,Wa,Ghana,,DGLW,10.083,-2.508,1060,Africa/Accra,N
Sunyani Airport,Sunyani,Ghana,NYI,DGSN,7.362,-2.329,1014,Africa/Accra,N
Takoradi Airport,Takoradi,Ghana,TKD,DGTK,4.896,-1.775,21,Africa/Accra,N
Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,DIAP,5.261,-3.926,21,Africa/Abidjan,N
Bouaké Airport,Bouake,Cote d'Ivoire,BYK,DIBK,7.739,-5.074,1230,Africa/Abidjan,N
Daloa Airport,Daloa,Cote d'Ivoire,DJO,DIDL,6.793,-6.473,823,Africa/Abidjan,N
Korhogo Airport,Korhogo,Cote d'Ivoire,HGO,DIKO,9.387,-5.557,1214,Africa/Abidjan,N
Man Airport,Man,Cote d'Ivoire,MJC,DIMN,7.272,-7.587,1089,Africa/Abidjan,N
San Pedro Airport,San Pedro,Cote d'Ivoire,SPY,DISP,4.747,-6.661,26,Africa/Abidjan,N
Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,ASK,DIYO,6.903,-5.366,699,Africa/Abidjan,N
Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,DNAA,9.007,7.263,1123,Africa/Lagos,N
Akure Airport,Akure,Nigeria,AKR,DNAK,7.247,5.301,1100,Africa/Lagos,N
Benin Airport,Benin,Nigeria,BNI,DNBE,6.317,5.600,258,Africa/Lagos,N
Margaret Ekpo International Airport,Calabar,Nigeria,CBQ,DNCA,4.976,8.347,210,Africa/Lagos,N
Akanu Ibiam International Airport,Enugu,Nigeria,ENU,DNEN,6.474,7.562,466,Africa/Lagos,N
Gusau Airport,Gusau,Nigeria,,DNGU,12.172,6.696,1520,Africa/Lagos,N
Ibadan Airport,Ibadan,Nigeria,IBA,DNIB,7.362,3.978,725,Africa/Lagos,N
